Category,Original Message,Message 1,Message 2,Message 3,Message 4,Message 5
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"Get a no-cost chance to join a weekly contest for FA Cup final tickets on May 21, 2005. Send ""FA"" to 87121 for the entry quiz (standard text rates apply). Terms and Conditions apply. Call 08452810075, over 18 only.",Enter our weekly draw without any charge to win tickets to the FA Cup final on 21st May 2005. Text 'FA' to 87121 for your entry query (standard SMS fees apply). T&Cs apply. Contact 08452810075 if you're over 18.,"Join our weekly competition for free and stand a chance to win FA Cup final tickets on May 21, 2005. Message 'FA' to 87121 to get the entry question (standard text rate). Terms & Conditions apply. Dial 08452810075, must be 18+.","Participate in our weekly contest at no cost for a chance to win FA Cup final tickets for May 21st, 2005. Simply text 'FA' to 87121 to receive the entry question (usual texting rates apply). Terms & Conditions apply. For 18 and over, call 08452810075.",Secure a free spot in our weekly competition to bag FA Cup final tickets for the 21st of May 2005. Text 'FA' to 87121 to get your entry question (standard text charges apply). T&C's applicable. Must be over 18 to call 08452810075.
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","Free Message: Hey darling, it's already been three weeks without a response! Are you still interested in having some fun? Let me know, text back okay! Kisses. Standard charges for sending, ?.50 to receive.","Complimentary Message: Hello dear, it's been three weeks and I haven't heard from you! Interested in a bit of amusement? Reply if you are! Hugs. Standard rates apply to send, ?.50 cost to receive.","No-Charge Msg: Hey sweetheart, no word from you in three weeks! Fancy some enjoyment? Are you still up for it? Reply please! Xoxo. Normal sending charges, ?.50 for receiving.","Greetings darling, three weeks and still no reply! How about some fun, are you in? Awaiting your text back! XoXo. Standard fees to send, ?.50 to receive.","Hey love, it�s been three weeks without a reply! Do you still want some excitement? Text back okay? XxX. Sending charges standard, ?.50 for receiving."
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"CONGRATULATIONS!! You, as a cherished network client, have been chosen to get a ?00 prize! Claim by calling 09061701461. Use claim code KL341. Offer valid for only 12 hours.","VICTORY!! Being a valued customer of our network, you're selected for a ?00 reward! To claim, dial 09061701461. Your claim code is KL341. This is valid for just 12 hours.","TRIUMPH!! As an esteemed member of our network, you've been picked to receive a ?00 prize! Call 09061701461 to claim. Remember to use KL341 as your claim code. It's only valid for 12 hours.","SUCCESS!! As an important network user, you are entitled to a ?00 prize award! To make your claim, please call 09061701461. The claim code is KL341, and it's only valid for the next 12 hours.","CHAMPION!! As an appreciated network patron, you've been awarded a ?00 prize! Claim it by calling 09061701461. Use the claim code KL341. Hurry, it's only valid for 12 hours."
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Owned your phone for 11 months or longer? You're qualified to upgrade to the newest color mobiles with a camera at no cost! Contact The Mobile Update Company for free at 08002986030.,Is your mobile phone 11 months old or older? You have the right to upgrade for free to the latest color mobiles equipped with cameras! Ring The Mobile Update Co at no charge on 08002986030.,Have you been using your mobile for over 11 months? You're eligible for a free upgrade to the latest color mobiles with cameras! Call The Mobile Update Co for free on 08002986030.,"If your mobile has been with you for more than 11 months, you can update to the newest color mobiles with cameras for free! Dial The Mobile Update Co at no expense on 08002986030.",Your mobile's been yours for 11 months or more? You're entitled to a free upgrade to the latest color mobiles with a camera! Just call The Mobile Update Co at no cost on 08002986030.
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX opportunities to score CASH prizes! Amounts ranging from ?00 to ?0,000 - text CSH11 to 87575. Costs 150p per day for 6 days, 16 and older. T&Cs apply. Text HL for more details.","SIX shots at winning CASH! Win anywhere from ?00 to ?0,000 - just text CSH11 to 87575. Priced at 150p daily, over 6 days, for ages 16+. Terms and Conditions apply. For more information, reply with HL.","SIX chances at cash winnings! Earn between ?00 and ?0,000 - send 'CSH11' to 87575. 150p/day cost, valid for 6 days, must be over 16. T&Cs in effect. Reply with HL for further info.","SIX ways to grab CASH rewards! From ?00 up to ?0,000 - text 'CSH11' to 87575. It's 150p per day for 6 days, open to those 16 and older. Terms and Conditions apply. For more details, text HL.","SIX chances to snag CASH! Win amounts from ?00 to ?0,000 - text the code CSH11 to 87575. Daily cost is 150p for 6 days, for ages 16+. Terms and Conditions apply. Text HL for more information."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","IMMEDIATE ATTENTION: Secure your one-week NO-COST membership in our ?00,000 Prize Jackpot! Text 'CLAIM' to 81010. Terms at www.dbuk.net, LCCLTD, PO BOX 4403LDNW1A7RW18.","ACT FAST! You've earned a complimentary one-week membership in our ?00,000 Prize Jackpot! Message 'CLAIM' to 81010. T&C available at www.dbuk.net, LCCLTD, POBOX 4403LDNW1A7RW18.","IMPORTANT NOTICE: Claim your free one-week pass to our ?00,000 Prize Jackpot now! Text the word 'CLAIM' to 81010. Conditions at www.dbuk.net, LCCLTD, PO BOX 4403LDNW1A7RW18.","ALERT: You're the lucky winner of a free one-week membership in our ?00,000 Prize Jackpot! Text 'CLAIM' to 81010. Full T&C at www.dbuk.net, LCCLTD, POBOX 4403LDNW1A7RW18.","TIME-SENSITIVE OFFER: Enjoy a week's free entry into our ?00,000 Prize Jackpot! Send 'CLAIM' to 81010. Terms at www.dbuk.net, LCCLTD, POBOX 4403LDNW1A7RW18."
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",XXXMobileMovieClub Notice: Activate your credit by following the WAP link in the upcoming text or click on http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL.,"From XXXMobileMovieClub: Utilize your credit by clicking the next text's WAP link, or visit http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL.","Instructions from XXXMobileMovieClub: Use your credit by tapping the WAP link in the next message, or by clicking here: http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL."," XXXMobileMovieClub Alert: To redeem your credit, click the WAP link in the following text or go to http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL.", XXXMobileMovieClub: Redeem your credit by clicking on the WAP link in the next text or by visiting http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL.
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","England vs Macedonia - stay updated with the scores and team news. Text your preferred national team to 87077, for example, 'ENGLAND' to 87077. Attempt: 'WALES', 'SCOTLAND'. 4 texts/?.20, PO BOX 36504W45WQ, 16 and above.","Don't lose track of the England vs Macedonia match - get the latest on goals and team updates. Send your national team's name to 87077, like 'ENGLAND' to 87077. Options include: 'WALES', 'SCOTLAND'. ?.20 for 4 texts, PO BOX 36504W45WQ, for 16+.","Keep up with England and Macedonia - for goal alerts and team news, text the name of your team to 87077, such as sending 'ENGLAND' to 87077. Also try 'WALES' or 'SCOTLAND'. Costs ?.20 for 4 texts, PO BOX 36504W45WQ, age 16+.","Follow the England vs Macedonia game - get updates on goals and team news. Just text your team to 87077, like 'ENGLAND' to 87077. Other teams like 'WALES', 'SCOTLAND' are also available for 4 texts/?.20, PO BOX 36504W45WQ, 16+.","For the England against Macedonia match, don't miss any goals or team news. Text your national team's name to 87077, such as 'ENGLAND' to 87077, or try 'WALES', 'SCOTLAND' for 4 texts/?.20, PO BOX 36504W45WQ, must be over 16."
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Appreciation for joining Ringtone UK. Your mobile is set to be billed ? monthly. Please confirm with a 'YES' or 'NO' reply. A 'NO' response ensures no charges.,Gratitude for subscribing to Ringtone UK. A ? per month charge will apply to your mobile. Confirm your subscription by responding with 'YES' or 'NO.' No charges will apply if you reply 'NO.',Thank you for your Ringtone UK subscription. Your mobile is subject to a monthly charge of ?. Confirm by replying 'YES' or avoid charges by replying 'NO.',We acknowledge your subscription to Ringtone UK. Your mobile will incur a ? monthly fee. Please confirm by replying 'YES' or reply 'NO' to not be charged.,Thanks for subscribing to Ringtone UK. Your phone will be billed ? monthly. Confirm this by replying 'YES' or reply 'NO' to opt out and incur no charge.
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MESSAGE: We attempted to contact you regarding your response to our SMS offering a free Nokia phone and camcorder. Call us back at 08000930705 to arrange next-day delivery.,"07732584351 - Rodger Burns - ALERT: We've made an attempt to reach you about your reaction to our text message for a no-cost Nokia mobile and camcorder. To get it delivered tomorrow, please call 08000930705 now.","07732584351 - Rodger Burns - COMMUNICATION: In response to your SMS about the free Nokia mobile and camcorder offer, we've tried ringing you. Please dial 08000930705 for delivery arrangements tomorrow.",07732584351 - Rodger Burns - NOTICE: Your reply to our SMS regarding the complimentary Nokia mobile and camcorder has prompted us to try calling you. Please contact us at 08000930705 for tomorrow's delivery.,"07732584351 - Rodger Burns - TEXT: We've attempted to call about your SMS reply for a free Nokia mobile and camcorder. To schedule delivery for tomorrow, please call 08000930705 promptly."
