label,sms
ham,You are not bothering me but you have to trust my answers. Pls.
spam,Receive a FREE ringtone! Just reply with REAL to 85233
spam,"Winner alert! Thanks to a friend, you've secured a ?,000 Christmas prize. Easy to claim: call 08712103738 now. Rate: just 10p per minute, BT national rate."
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,No de.am seeing in online shop so that i asked.
spam,"Congratulations, ENGLAND! Get the official poly ringtone or a color flag on your mobile. Text TONE or FLAG to 84199 NOW! Opt-out by texting ENG STOP. Box39822 W111WX ?.50."
spam,"Accessible loans for any reason, ?00 - ?5,000. Welcoming Homeowners and Tenants. Denied a loan before? Let us help. Call 0800 1956669 without charge or send a 'help' text."
spam,"A person from your social circle is making an effort to get in touch with you using our dating service! To unveil their identity, dial 09064015307 from your mobile or landline. Don't forget to mention BOX334SK38ch."
ham,Text her. If she doesnt reply let me know so i can have her log in
spam,From 74355: XMAS brings you a chance to win ?00 in CD gift vouchers and free access to our weekly ?00 draw. Text MUSIC to 87066 to participate. Terms and conditions are in effect.
spam,"Keep in mind, at 1stchoice.co.uk, you have the liberty to place numerous FREE Requests. For additional details, contact 08707808226."
spam,PRIVATE! Your 2003 Account Statement reveals 800 unredeemed S. I. M. points. Act now by calling 08715203694 with Identifier Code: 40533 before they expire on 31/10/04.
spam,Weekly POLYPHONIC tones for your phone! Text PT2 to 87575. Grab your first Tone for FREE! Spread the word and text away. Cost: 150p/tone. Those over 16 reply with HL for information.
spam,"If you possess a strong sense of humor and are skilled in socializing with women, you might want to contemplate the idea of becoming a male gigolo. To become a part of the rapidly growing men's club in the United Kingdom, reply with ONCALL to mjzgroup at 08714342399. If you wish to cease receiving these messages, respond with STOP. The cost for each message is ?.50."
ham,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)
ham,Ok... Help me ask if she's working tmr a not?
ham,Oops i thk i dun haf enuff... I go check then tell Ã¼..
spam,"Grab the opportunity to star in a reality fantasy show! Dial 08707509020 now, costing only 20p per minute. Provided by NTT Ltd, PO Box 1327, Croydon CR9 5WB. Note: 0870 calls are charged at national rates."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,"Sorry da thangam, very very sorry i am held up with prasad."
spam,"Discover Mila, a 23-year-old blonde newcomer in the UK. I'm looking for sexual adventures with UK men. If you're up for fun, text MTALK to 69866.18. Messages are 30p each, first five free, then ?.50 per text. For help, ring 08718728876"
spam,"Christmas is approaching, and you have been granted the choice of either ?00 in CD gift vouchers or the opportunity for free entry into our ?00 weekly draw. To participate, text MUSIC to 87066. Terms and conditions can be found at www.Ldew.com1win150ppmx3age16subscription."
ham,U having lunch alone? I now so bored...
ham,You will be in the place of that man
ham,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
spam,Join the growing community of dogging enthusiasts in your area. Connect with like-minded individuals by dialing 09090204448. Consider hosting your own event. There's one happening this evening. ?.50 per minute. APN LS278BB.
spam,"Important notice: Your cash balance is currently ?00. To optimize your cash-in, send GO to 86688 for just 150p per message. For any inquiries, reach us at 08718720201. Our address: HG/Suite342/2Lands Row/W1J6HL."
ham,I am late. I will be there at
spam,"Explore the most brilliant shopping breaks, with rates beginning at ?5 per person. Get in touch at 0121 2025050 or go to www.shortbreaks.org.uk to get started."
ham,Speaking of does he have any cash yet?
spam,"Congratulations on winning two mobile 3G videophones. Dial 09063458130 now to enjoy video chats with friends, play Java games, and download polyphonic music, all without any line rental costs. Reference: Bx420. ip4. 5we. Priced at 150p."
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
ham,Shb b ok lor... Thanx...
ham,Hey i will be late... i'm at amk. Need to drink tea or coffee
ham,Dear we got  &lt;#&gt;  dollars hi hi
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive Â£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
spam,"First week's FREE! Weekly Nokia tones for your mobile, just text NOKIA to 8077. Spread the word. Info at www.getzed.co.uk, PO Box 36504 W45WQ. For those 16+, usual price 150p per tone."
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
ham,What's your room number again? Wanna make sure I'm knocking on the right door
spam,"All the best! The draw date is 28th Feb 06. Good Luck! To be removed, text STOP to 87239. Customer services can be reached at 08708034412."
spam,"HMV Reward Opportunity: Stand a chance to claim ?00 in genuine HMV vouchers. Just respond to four straightforward questions. To play, send HMV to 86688. For more information, check out www.100percent-real.com."
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?
spam,"Exciting chats with twinks, bears, scallies, skins, and jocks await. Dive into weekend entertainment. Phone 08712466669 for 10p/min. To stop receiving texts, contact 08712460324 (standard rate)."
ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
spam,"You and I are unknown to each other. Let's fix this by texting CHAT to 86688! Cost is 150p/Msg received. HG/Suite342/2Lands/Row/W1J6HL, London, age limit 18+."
spam,"The unique ID for your user account is 1172. To remove yourself, text STOP to 87239 or call customer services at 08708034412."
spam,"Secure your free entry into a weekly competition for a shot at winning an iPod. Text POD to 80182 to enter (standard text rate). For full details on terms and conditions, call 08452810073. Open to participants aged 18 and above."
ham,Sorry for the delay. Yes masters
spam,"Liven up your phone with a no-cost enticing picture of Jordan! Message BABE to 88600. Each week, get a photo of a sexy celeb! For more, go to PocketBabe.co.uk. Suitable for 16 and older, ?/week, call 087016248."
spam,"Act now: Contact 09066649731 from a landline to receive your free 4-star Ibiza Holiday or ?0,000. See T&Cs at SAE PO BOX 434 SK3 8WP, cost 150p per minute, 18+ only."
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
spam,"I inquired with 3MOBILE regarding the coverage of 0870 chatlines in the free minutes. The response from the Indian customer service team was affirmative. Nevertheless, I received a substantial bill later on. It seems that 3MOBILE is showing indifference to the matter. I now have a ?50 debt, while 3MOBILE is insisting on ?00."
ham,May b approve panalam...but it should have more posts..
ham,Exactly. Anyways how far. Is jide her to study or just visiting
spam,Contribute to charity with Alfie Moon's Children in Need song for just 25p on your mobile. Inform your friends. Send TONE CHARITY to 8007 for Nokia or POLY CHARITY for other models. Contact zed at 08701417012. All profits to charity.
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
spam,"You've been exclusively chosen to receive a ?,000 award! Call 08712402050 before the lines close. The cost is 10ppm. Open to ages 16 and above. Terms and conditions apply. AG Promo."
spam,"Your discount code is RP176781. To cease receiving additional messages, reply with ""stop."" For inquiries, visit www.regalportfolio.co.uk or get in touch with Customer Services at 08717205546."
ham,Thankyou so much for the call. I appreciate your care.
spam,"You've been selected to receive a SiPix Digital Camera! Please contact 09061221061 from a landline for your prize. Delivered in 28 days. T&Cs at Box177, M221BP. Benefits include a 2-year warranty, 150ppm, 16+ only, with a ?.99 postage fee."
spam,Join the community of dogging enthusiasts in your area. Call 09090204448 to connect with others who share your interests. Why not arrange an event yourself? There's one taking place this evening. ?.50 per minute. APN LS278BB.
spam,"Are you in the mood for some risqu?conversation or even something more visual? Just text 'hot' to 69698 (150p/min). To end the service, text 'stop' to 69698."
ham,I need to come home and give you some good lovin...
ham,Daddy will take good care of you :)
ham,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?
ham,Hasn't that been the pattern recently crap weekends?
ham,Ok how you dear. Did you call chechi
spam,Join the cause with Alfie Moon's Children in Need song for 25p on your phone. Inform your buddies. Text TONE CHARITY to 8007 for Nokia or POLY CHARITY for other handsets. Zed at 08701417012. Profits are donated to charity.
